method,time,survival,electric_energy,magnetic_energy,total_energy,tvd_to_exact_hamiltonian,mirror_asymmetry,norm_error,occupation_0,occupation_1,occupation_2,occupation_3,occupation_4
strang_r2,0.28,0.006510167844559482,6.435637145335965,-3.0329697753030826,3.4026673700328827,0.022874368709629257,0.001142609102548764,2.3092638912203256e-14,0.6889836686473824,0.31926119440594786,0.33198767965082754,0.3172411659780002,0.6892488584245322
strang_r2,0.28400000000000003,0.005594988186649021,6.476105203261754,-3.0548736090512083,3.4212315942105453,0.024599140182387486,0.0011384096243197694,2.1316282072803006e-14,0.696210931337978,0.3259244728189498,0.3231704416239179,0.3238888030087626,0.6964520807764303
strang_r2,0.28800000000000003,0.004808344289809479,6.514059180037252,-3.0743513225806067,3.4397078574566455,0.026390378929730864,0.0011321586704261533,2.609024107869118e-14,0.70305241635975,0.3324991773096514,0.3145738630803514,0.3304484443156487,0.7032660007065996
strang_r2,0.292,0.004134838259172026,6.549451645350917,-3.0914282368060064,3.4580234085449106,0.028244619759421045,0.0011238742157924364,2.4202861936828413e-14,0.7095046141492586,0.3389798731624794,0.30620008888647093,0.3369145407560511,0.7096870301744151
strang_r2,0.296,0.0035605348948139757,6.582242444028337,-3.106138952244458,3.4761034917838787,0.030157779469456997,0.0011135783884105854,2.731148640577885e-14,0.7155647915103509,0.34536149070969724,0.2980510034864635,0.3432819193179031,0.7157123768953779
strang_r2,0.3,0.0030728983113908976,6.612398838783559,-3.118527149210082,3.493871689573477,0.03212515511767158,0.0011012968586628369,2.2648549702353193e-14,0.7212309874538823,0.35163934119922935,0.290128240128158,0.3495458016379618,0.7213400416099404
strang_r2,0.304,0.0026607211344346743,6.639895623909716,-3.1286453396866487,3.5112502842230673,0.034141428400287804,0.0010870582107363747,2.6867397195928788e-14,0.7265020069185217,0.35780913111186097,0.28243318962296654,0.35570182093127395,0.7265688131594075
strang_r2,0.308,0.002314048175668663,6.664715209468703,-3.1365545721375527,3.5281606373311503,0.036200676376181976,0.0010708933008548582,2.4980018054066022e-14,0.7313774124059192,0.36386697487383113,0.27496700861079815,0.36174603725770904,0.7313982613915069
strang_r2,0.312,0.0020240964069351713,6.686847675678676,-3.1423240907742667,3.544523584904409,0.03829638869811097,0.0010816202519605689,1.709743457922741e-14,0.735857513571562,0.3698094059180251,0.26773062730699715,0.3676749510592519,0.7358287279264141
strang_r2,0.316,0.0017831729450859942,6.706290797342925,-3.146030951059647,3.560259846283278,0.04042149143108224,0.00111495557151986,2.0872192862952943e-14,0.739943354821191,0.37563338605455804,0.26072475671477635,0.3734855149100285,0.7398613148226808
strang_r2,0.32,0.0015845926313363616,6.723050038304376,-3.147759593465727,3.5752904448386493,0.04256837745235664,0.0011499997348421998,1.7319479184152442e-14,0.7436367009705585,0.3813363131191067,0.2539498952926916,0.37917514342936015,0.7434978711906206
strang_r4,0.0,0.9999999999999598,2.999999999999879,5.634095561228407e-16,2.9999999999998797,1.9206858326015208e-14,4.194118193639525e-34,4.0190073491430667e-14,1.258861352770242e-34,6.3720079478804615e-34,0.9999999999999598,1.0280899192224713e-34,4.303179711391302e-34
strang_r4,0.004,0.9991043744502524,3.000960032032017,-0.0009600341373947755,2.9999999978946224,3.4396309662713494e-10,9.595800338406488e-11,3.930189507173054e-14,0.00025597105155485383,6.400785971250445e-05,0.9997440393127195,6.400766780916316e-05,0.0002559710515675193
strang_r4,0.008,0.996421986581895,3.0038405107935957,-0.0038405442506197762,2.9999999665429757,5.5004624280496025e-09,1.533314089601943e-09,4.75175454539567e-14,0.001023536867526531,0.00025612561367825714,0.9989766287846289,0.00025612254785965235,0.0010235368683361055
strang_r4,0.012,0.9919662681218825,3.0086425713951908,-0.008642738857416038,2.9999998325377746,2.7823446567285375e-08,7.745440928279106e-09,4.2299497238218464e-14,0.0023016557519593174,0.0005766347247805743,0.9976991813720902,0.0005766192430998242,0.002301655761160424
strang_r4,0.016,0.9857594902393854,3.0153680628499018,-0.01536858367503359,2.999999479174868,8.783591730867037e-08,2.4404575043983356e-08,5.1736392947532295e-14,0.004088592613600195,0.001026000767307713,0.9959140465298739,0.0010259520096952421,0.004088592665137812
strang_r4,0.02,0.9778325921755994,3.024019484210385,-0.024020729387021572,2.9999987548233635,2.141291729664012e-07,5.934741570986883e-08,3.430589146091734e-14,0.006381920574476843,0.0016048681596502275,0.9936245020348895,0.001604749660635765,0.0063819207702938
strang_r4,0.024,0.9682249436977535,3.0345998959426086,-0.034602411482275,2.9999974844603337,4.4322119089047176e-07,1.224723053447601e-07,5.007105841059456e-14,0.009178523232963625,0.0023140528467851347,0.9908347426037146,0.002313808484032729,0.009178523814821909
strang_r4,0.028,0.9569840437176096,3.0471128073133285,-0.04711732312165534,2.999995484191673,8.19373125829921e-07,2.2560931044017518e-07,4.9960036108132044e-14,0.012474597592217243,0.0031545329887026673,0.9875498653685129,0.003154083228862935,0.01247459905099839
strang_r4,0.032,0.9441651580353577,3.0615620407741195,-0.06156946224426141,2.999992578529858,1.394363335278098e-06,3.8236486756600824e-07,4.8627768478581856e-14,0.01626565766770978,0.004127437726189257,0.9837758522920027,0.004126676225290136,0.01626566089654579
strang_r4,0.036000000000000004,0.9298308997590686,3.0779515745308585,-0.07796295437254946,2.9999886201583092,2.2272174443520885e-06,6.079429798137165e-07,4.829470157119431e-14,0.020546538790260784,0.005234034110064215,0.9795195496202972,0.005232824720557536,0.020546545286713732
strang_r4,0.04,0.9140507564961398,3.0962853646765343,-0.09630185280778869,2.9999835118687455,3.3838931336089204e-06,9.189452435014525e-07,4.674038933671909e-14,0.025311402623406677,0.006475712293953179,0.9747886444875835,0.0064738865246852465,0.025311414744625747
strang_r4,0.044,0.8969005689138273,3.1165671484468365,-0.11658991812491881,2.9999772303219174,4.936917897933615e-06,1.3331522472235721e-06,3.4861002973229915e-14,0.030553742916127464,0.007853969103861705,0.9695916388021557,0.007851324072728112,0.030553764189488318
strang_r4,0.048,0.8784619657136891,3.138800230324754,-0.1388303790753349,2.9999698512494195,6.964977774215339e-06,1.8692891112113627e-06,4.6851411639181606e-14,0.036266392013837995,0.009370390110085489,0.9639378205574148,0.009366687022058716,0.036266427504033645
strang_r4,0.052000000000000005,0.8588217604554748,3.162987252874221,-0.16302567718673056,2.9999615756874904,9.552454678211229e-06,2.5467781239593354e-06,3.108624468950438e-14,0.04244152815212444,0.01102663033826271,0.9578372327248229,0.011021593513951516,0.04244158488406116
strang_r4,0.056,0.8380713159943158,3.189129954317698,-0.18917719750848505,2.999952756809213,1.2788910025055708e-05,3.38548158121052e-06,5.240252676230739e-14,0.049070683558899986,0.01282439376654993,0.951300639897031,0.012817710238568382,0.04907077099408086
strang_r4,0.06,0.8163058825602415,3.217228914997268,-0.21728498808830654,2.9999439269089616,1.676851155237404e-05,4.405438035810609e-06,3.441691376337985e-14,0.05614475339154123,0.01476541176493004,0.9443394928613458,0.014756731451243031,0.05614488395392584
strang_r4,0.064,0.7936239157040125,3.24728329495605,-0.2473474708797193,2.999935824076331,2.158940081136969e-05,5.6265952291887494e-06,4.529709940470639e-14,0.06365400553595467,0.016851420640432116,0.9369658912913391,0.01684035709561361,0.06365419518159454
strang_r4,0.068,0.770126380462307,3.2792905649678517,-0.2793611468697281,2.9999294180981235,2.735299786651555e-05,7.068542992389598e-06,4.929390229335695e-14,0.07158809129465536,0.019084138458573756,0.929192544754364,0.01907027019568941,0.0715883601177558
strang_r4,0.07200000000000001,0.745916048150735,3.3132462334022215,-0.3133202982804163,2.999925935121805,3.4224699411843684e-05,8.750249376143077e-06,6.17284001691587e-14,0.07993605699047794,0.021465241316496804,0.9210327322373975,0.021448113684219935,0.07993642985695336
strang_r4,0.076,0.7210967921814722,3.3491435713632978,-0.34921669073772155,2.9999268806255763,4.236068660611662e-05,1.0689803196971964e-05,4.440892098500626e-14,0.0886863565118303,0.02399633924712097,0.9125002604002376,0.02397546683882606,0.08868686370992933
strang_r4,0.08,0.6957728892190328,3.386973338563741,-0.3870392783143052,2.9999340602494358,5.183350891702256e-05,1.2904166079432539e-05,4.196643033083092e-14,0.09782686482410372,0.026678951936083856,0.9036094207676105,0.026653821500148077,0.0978275427203268
strang_r4,0.084,0.6700483318385754,3.4267235124050988,-0.4267739143422067,2.999949598062892,6.276823649835144e-05,1.5408936911945337e-05,5.2513549064769904e-14,0.10734489247028535,0.029514484434338604,0.8943749460748469,0.02948455824782516,0.1073457841575958
strang_r4,0.088,0.6440261586353677,3.468379022720362,-0.46840307085398747,2.9999759518663747,7.529084487392675e-05,1.8218131453053704e-05,3.752553823233029e-14,0.117227201081681,0.03250420304898066,0.8848119659815955,0.03246892271037816,0.11722835700598461
strang_r4,0.092,0.6178078074575633,3.5119214946036768,-0.5119055694500142,3.0000159251536624,8.952700892546147e-05,2.1343979588531875e-05,4.107825191113079e-14,0.127460019917212,0.035649211593238306,0.8749359623677083,0.03560800218407375,0.12746149846722452
