method,time,bitstring_q4_to_q0,probability
strang_r2,0.16,00000,0.0916576207804305
strang_r2,0.16,00001,0.05626442953557235
strang_r2,0.16,00010,0.021112013980391184
strang_r2,0.16,00011,0.0025412996050293074
strang_r2,0.16,00100,0.2214216886642667
strang_r2,0.16,00101,0.12713318690138206
strang_r2,0.16,00110,0.03495595357648631
strang_r2,0.16,00111,0.0040379410809994664
strang_r2,0.16,01000,0.02156812093181323
strang_r2,0.16,01001,0.013454758178546432
strang_r2,0.16,01010,0.006030768127690788
strang_r2,0.16,01011,0.0007279572615385061
strang_r2,0.16,01100,0.033999681000911594
strang_r2,0.16,01101,0.019525958772351068
strang_r2,0.16,01110,0.005150646775064564
strang_r2,0.16,01111,0.0005955345759141477
strang_r2,0.16,10000,0.056815923105387606
strang_r2,0.16,10001,0.03491688999774628
strang_r2,0.16,10010,0.013286619837922835
strang_r2,0.16,10011,0.001599717673903898
strang_r2,0.16,10100,0.12642039322294696
strang_r2,0.16,10101,0.07257754482062208
strang_r2,0.16,10110,0.02000343016814997
strang_r2,0.16,10111,0.0023104606280245315
strang_r2,0.16,11000,0.0026043815858969714
strang_r2,0.16,11001,0.0016251121900024191
strang_r2,0.16,11010,0.0007302892165940769
strang_r2,0.16,11011,8.815194385937456e-05
strang_r2,0.16,11100,0.003925131625541555
strang_r2,0.16,11101,0.0022540854227199618
strang_r2,0.16,11110,0.0005954619916282857
strang_r2,0.16,11111,6.884682064420214e-05
exact,0.24,00000,0.02231829903942893
exact,0.24,00001,0.060154323936468815
exact,0.24,00010,0.020341278698692067
exact,0.24,00011,0.007113052834152683
exact,0.24,00100,0.028750239482096616
exact,0.24,00101,0.05959556960255856
exact,0.24,00110,0.018210070227713114
exact,0.24,00111,0.005525048764521497
exact,0.24,01000,0.020341278698692074
exact,0.24,01001,0.05846683234017746
exact,0.24,01010,0.025690449782121847
exact,0.24,01011,0.00906683225786988
exact,0.24,01100,0.01821007022771316
exact,0.24,01101,0.03779345294534781
exact,0.24,01110,0.010151928821714333
exact,0.24,01111,0.00310626469193306
exact,0.24,10000,0.06015432393646873
exact,0.24,10001,0.1636739649080101
exact,0.24,10010,0.058466832340177334
exact,0.24,10011,0.02051330380960324
exact,0.24,10100,0.059595569602558345
exact,0.24,10101,0.1226177890501667
exact,0.24,10110,0.037793452945347715
exact,0.24,10111,0.011438960079808264
exact,0.24,11000,0.007113052834152643
exact,0.24,11001,0.02051330380960316
exact,0.24,11010,0.009066832257869844
exact,0.24,11011,0.003197848652905932
exact,0.24,11100,0.0055250487645215375
exact,0.24,11101,0.011438960079808231
exact,0.24,11110,0.003106264691933046
exact,0.24,11111,0.0009494998858623547
strang_r2,0.24,00000,0.020982103666952384
strang_r2,0.24,00001,0.05748033635527931
strang_r2,0.24,00010,0.020187451110143827
strang_r2,0.24,00011,0.006850346924365335
strang_r2,0.24,00100,0.027232157999957637
strang_r2,0.24,00101,0.059431579784256415
strang_r2,0.24,00110,0.018779814457682655
strang_r2,0.24,00111,0.00567724993577191
strang_r2,0.24,01000,0.02142522918358085
strang_r2,0.24,01001,0.06163276963203352
strang_r2,0.24,01010,0.026049528938892938
strang_r2,0.24,01011,0.00893881430242272
strang_r2,0.24,01100,0.017035122172377327
strang_r2,0.24,01101,0.037246084252183204
strang_r2,0.24,01110,0.010655668008678185
