term_ordering,time,tvd_to_exact_hamiltonian,energy_drift,mirror_asymmetry,source_gate_count,source_depth,source_2q_count
symmetry,0.132,0.0025064359708062145,0.009158139295978529,1.249000902703301e-16,373,212,144
symmetry,0.136,0.002800182026331959,0.010403108662681682,1.8041124150158794e-16,373,212,144
symmetry,0.14,0.0031115077086198055,0.011771892811585971,6.245004513516506e-17,373,212,144
symmetry,0.14400000000000002,0.0034393296390304987,0.013271839389588536,2.8449465006019636e-16,373,212,144
symmetry,0.148,0.0037822610218103945,0.014910273651987271,1.8041124150158794e-16,373,212,144
symmetry,0.152,0.004138605855363933,0.016694452330576315,8.326672684688674e-17,373,212,144
symmetry,0.156,0.00450635749941215,0.018631515135561827,6.245004513516506e-17,373,212,144
symmetry,0.16,0.004883891894429514,0.020728434155997455,2.1510571102112408e-16,373,212,144
symmetry,0.164,0.005270418363760672,0.022991961447978326,9.020562075079397e-17,373,212,144
symmetry,0.168,0.005661673140951534,0.025428575126690056,6.245004513516506e-17,373,212,144
symmetry,0.17200000000000001,0.006054727169355845,0.02804442429749132,1.6653345369377348e-16,373,212,144
symmetry,0.176,0.006450515852525209,0.030845273182334765,2.7755575615628914e-16,373,212,144
symmetry,0.18,0.0069292092165809845,0.033836444813647226,2.914335439641036e-16,373,212,144
symmetry,0.184,0.007422456460527222,0.037022764682164144,9.71445146547012e-17,373,212,144
symmetry,0.188,0.007920988865230629,0.0404085047360927,2.7755575615628914e-16,373,212,144
symmetry,0.192,0.008425929497269682,0.04399732813672408,1.3877787807814457e-17,373,212,144
symmetry,0.196,0.008977076763074845,0.047792235181586484,1.5265566588595902e-16,373,212,144
symmetry,0.2,0.009530276319665777,0.051795510807125744,1.1102230246251565e-16,373,212,144
symmetry,0.20400000000000001,0.010081785560607893,0.05600867408330146,2.220446049250313e-16,373,212,144
symmetry,0.20800000000000002,0.010628763457346112,0.0604324301069199,6.938893903907228e-17,373,212,144
symmetry,0.212,0.011168436515437787,0.0650666246955347,2.3592239273284576e-16,373,212,144
symmetry,0.216,0.011760510922978196,0.06991020227205746,5.551115123125783e-17,373,212,144
symmetry,0.22,0.012410970207258024,0.07496116731889302,2.220446049250313e-16,373,212,144
symmetry,0.224,0.013297228136031158,0.08021654976498738,2.220446049250313e-16,373,212,144
symmetry,0.228,0.014229166152329397,0.08567237465028832,1.6653345369377348e-16,373,212,144
symmetry,0.232,0.015235357713302644,0.09132363639332652,2.220446049250313e-16,373,212,144
symmetry,0.23600000000000002,0.016385817893317636,0.09716427796380422,1.3877787807814457e-16,373,212,144
symmetry,0.24,0.01756919020122824,0.10318717523758014,1.1102230246251565e-16,373,212,144
symmetry,0.244,0.018781301005860125,0.10938412678543497,0.0,373,212,144
symmetry,0.248,0.02001755226776824,0.11574584931680887,5.551115123125783e-17,373,212,144
symmetry,0.252,0.02127294820881994,0.12226197897158686,2.498001805406602e-16,373,212,144
symmetry,0.256,0.022542342055922714,0.12892107861963042,5.551115123125783e-17,373,212,144
symmetry,0.26,0.023859334017368998,0.13571065129550863,1.6653345369377348e-16,373,212,144
symmetry,0.264,0.025181705417359694,0.142617159862358,1.3877787807814457e-16,373,212,144
symmetry,0.268,0.02650314161469116,0.14962605296324671,2.220446049250313e-16,373,212,144
symmetry,0.272,0.027817117006161705,0.15672179728300328,1.6653345369377348e-16,373,212,144
symmetry,0.276,0.0291216328497955,0.1638879161082758,0.0,373,212,144
symmetry,0.28,0.030475026444517023,0.1711070341358174,2.7755575615628914e-17,373,212,144
symmetry,0.28400000000000003,0.03180354870841232,0.17836092844425488,3.3306690738754696e-16,373,212,144
symmetry,0.28800000000000003,0.03310016331401262,0.18563058550668776,0.0,373,212,144
symmetry,0.292,0.03435796376135064,0.19289626408655947,1.6653345369377348e-16,373,212,144
symmetry,0.296,0.0355702497685038,0.2001375638232794,1.942890293094024e-16,373,212,144
symmetry,0.3,0.03673060277893893,0.20733349927852585,1.6653345369377348e-16,373,212,144
symmetry,0.304,0.037832959499962855,0.21446257918122758,3.3306690738754696e-16,373,212,144
symmetry,0.308,0.038871682397058696,0.22150289057459194,1.6653345369377348e-16,373,212,144
symmetry,0.312,0.03984162609795866,0.2284321875381483,1.6653345369377348e-16,373,212,144
symmetry,0.316,0.04073819870767394,0.23522798412578938,5.551115123125783e-17,373,212,144
symmetry,0.32,0.0415574171009975,0.241867651132325,1.1102230246251565e-16,373,212,144
