num_plaquettes,max_bond,truncation_threshold,observable,value,ideal_trotter,exact_hamiltonian
12,8,1e-10,Z9,0.0743817368066628,,
12,8,1e-10,X3,0.5051474796144322,,
12,8,1e-10,Z8,-0.12050741934246961,,
12,8,1e-10,ZZ1,-0.26713576955965795,,
12,8,1e-10,Z7,0.389059323736241,,
12,8,1e-10,Z6,-0.32555306704737735,,
12,8,1e-10,X0,0.5625454927523736,,
12,8,1e-10,Z10,0.0970532225009071,,
12,8,1e-10,Z3,-0.12050744680494305,,
12,8,1e-10,X11,0.5625454941298266,,
12,8,1e-10,Z2,0.07438172780704656,,
12,8,1e-10,X10,0.4513593682652386,,
12,8,1e-10,Z1,0.09705321888367399,,
12,8,1e-10,Z0,-0.23637994487346825,,
12,8,1e-10,X1,0.45135935895369805,,
12,8,1e-10,X2,0.4595489109330266,,
12,8,1e-10,ZZ5,0.5440968041997154,,
12,8,1e-10,X4,0.26292651017852514,,
12,8,1e-10,X7,0.262926528557675,,
12,8,1e-10,ZZ2,-0.29409857189051875,,
12,8,1e-10,Z11,-0.23637994329253317,,
12,8,1e-10,X5,-0.18845667336988903,,
12,8,1e-10,Z4,0.3890593306214789,,
12,8,1e-10,ZZ0,-0.30113571667532163,,
12,8,1e-10,Z5,-0.325553058233121,,
12,8,1e-10,X6,-0.18845665940612397,,
12,8,1e-10,X8,0.5051475194761769,,
12,8,1e-10,X9,0.45954887373919956,,
12,8,1e-10,magnetic_energy,-11.926546408575378,,
12,8,1e-10,ZZ3,-0.3792193988355113,,
12,8,1e-10,electric_energy,15.108053183026307,,
12,8,1e-10,ZZ4,-0.19425764352334435,,
12,32,1e-14,norm,0.9999999999995609,,
12,32,1e-14,ZZ10,-0.3011357178928544,,
12,32,1e-14,ZZ9,-0.26713576714448456,,
12,32,1e-14,ZZ8,-0.29409848812324574,,
12,32,1e-14,total_energy,3.181506600290644,,
12,32,1e-14,ZZ7,-0.37921935789737826,,
12,32,1e-14,ZZ6,-0.1942576646913417,,
12,32,1e-14,Z9,0.0743817429610086,,
12,32,1e-14,X3,0.5051475299491844,,
12,32,1e-14,Z8,-0.12050741534818743,,
12,32,1e-14,ZZ1,-0.2671357667653701,,
12,32,1e-14,Z7,0.38905934476690573,,
12,32,1e-14,Z6,-0.32555301629997646,,
12,32,1e-14,X0,0.5625454919120936,,
12,32,1e-14,Z10,0.09705322761049574,,
12,32,1e-14,Z3,-0.12050741533305992,,
12,32,1e-14,X11,0.5625454919358325,,
12,32,1e-14,Z2,0.0743817430542711,,
12,32,1e-14,X10,0.45135937076709326,,
12,32,1e-14,Z1,0.09705322764955616,,
12,32,1e-14,Z0,-0.23637994398817,,
12,32,1e-14,X1,0.45135937086166694,,
12,32,1e-14,X2,0.45954883623993786,,
12,32,1e-14,ZZ5,0.5440965310254252,,
12,32,1e-14,X4,0.26292649526739126,,
12,32,1e-14,X7,0.2629264951793699,,
12,32,1e-14,ZZ2,-0.29409848792645943,,
12,32,1e-14,Z11,-0.23637994395312278,,
12,32,1e-14,X5,-0.1884567476691623,,
12,32,1e-14,Z4,0.3890593447050281,,
12,32,1e-14,ZZ0,-0.3011357178663044,,
